module,phase,name,code,sequence,workflow-file,command,skill-name,required,agent-name,agent-command,agent-display-name,agent-title,options,description,output-location,outputs
bmb,anytime,Create Agent,BA,10,skills/bmad-bmb/workflows/agent/workflow-create-agent.md,bmad_bmb_create_agent,bmad-agent-builder-workflow,false,agent-builder,bmad:Precise and technical:agent:agent-builder,Bond,🤖 Agent Building Expert,Create Mode,Create a new BMAD agent with best practices and compliance,bmb_creations_output_folder,agent
bmb,anytime,Edit Agent,EA,15,skills/bmad-bmb/workflows/agent/workflow-edit-agent.md,bmad_bmb_edit_agent,bmad-agent-builder-workflow,false,agent-builder,bmad:Precise and technical:agent:agent-builder,Bond,🤖 Agent Building Expert,Edit Mode,Edit existing BMAD agents while maintaining compliance,bmb_creations_output_folder,agent
bmb,anytime,Validate Agent,VA,20,skills/bmad-bmb/workflows/agent/workflow-validate-agent.md,bmad_bmb_validate_agent,bmad-agent-builder-workflow,false,agent-builder,bmad:Precise and technical:agent:agent-builder,Bond,🤖 Agent Building Expert,Validate Mode,Validate existing BMAD agents and offer to improve deficiencies,agent being validated folder,validation report
bmb,anytime,Create Module Brief,PB,30,skills/bmad-bmb/workflows/module/workflow-create-module-brief.md,bmad_bmb_create_module_brief,bmad-module-builder-workflow,false,module-builder,bmad:Strategic and holistic:agent:module-builder,Morgan,🏗️ Module Creation Master,Module Brief Mode,Create product brief for BMAD module development,bmb_creations_output_folder,product brief
bmb,anytime,Create Module,CM,35,skills/bmad-bmb/workflows/module/workflow-create-module.md,bmad_bmb_create_module,bmad-module-builder-workflow,false,module-builder,bmad:Strategic and holistic:agent:module-builder,Morgan,🏗️ Module Creation Master,Create Mode,"Create a complete BMAD module with agents, workflows, and infrastructure",bmb_creations_output_folder,module
bmb,anytime,Edit Module,EM,40,skills/bmad-bmb/workflows/module/workflow-edit-module.md,bmad_bmb_edit_module,bmad-module-builder-workflow,false,module-builder,bmad:Strategic and holistic:agent:module-builder,Morgan,🏗️ Module Creation Master,Edit Mode,Edit existing BMAD modules while maintaining coherence,bmb_creations_output_folder,module
bmb,anytime,Validate Module,VM,45,skills/bmad-bmb/workflows/module/workflow-validate-module.md,bmad_bmb_validate_module,bmad-module-builder-workflow,false,module-builder,bmad:Strategic and holistic:agent:module-builder,Morgan,🏗️ Module Creation Master,Validate Mode,Run compliance check on BMAD modules against best practices,module being validated folder,validation report
bmb,anytime,Build Workflow,BW,50,skills/bmad-bmb/workflows/workflow/workflow-create-workflow.md,bmad_bmb_create_workflow,bmad-workflow-builder-workflow,false,workflow-builder,bmad:Methodical and process-oriented:agent:workflow-builder,Wendy,🔄 Workflow Building Master,Create Mode,Create a new BMAD workflow with proper structure and best practices,bmb_creations_output_folder,workflow
bmb,anytime,Edit Workflow,EW,55,skills/bmad-bmb/workflows/workflow/workflow-edit-workflow.md,bmad_bmb_edit_workflow,bmad-workflow-builder-workflow,false,workflow-builder,bmad:Methodical and process-oriented:agent:workflow-builder,Wendy,🔄 Workflow Building Master,Edit Mode,Edit existing BMAD workflows while maintaining integrity,bmb_creations_output_folder,workflow
bmb,anytime,Validate Workflow,VW,60,skills/bmad-bmb/workflows/workflow/workflow-validate-workflow.md,bmad_bmb_validate_workflow,bmad-workflow-builder-workflow,false,workflow-builder,bmad:Methodical and process-oriented:agent:workflow-builder,Wendy,🔄 Workflow Building Master,Validate Mode,Run validation check on BMAD workflows against best practices,workflow being validated folder,validation report
